Datetime,Option Type,Strike,Qty,Sell,Sell Value,Buy Value,ID
2021-09-24 09:15:59,CE,17900,1,True,132.7,0,0
2021-09-24 09:15:59,PE,17900,1,True,137.0,0,0
2021-09-24 15:19:59,CE,17900,1,False,0,101.4,2021-09-24 09:15:59
2021-09-24 15:19:59,PE,17900,1,False,0,140.35,2021-09-24 09:15:59
2021-09-27 09:15:59,CE,17900,1,True,128.4,0,0
2021-09-27 09:15:59,PE,17900,1,True,95.15,0,0
2021-09-27 10:45:59,CE,17800,4,True,138.15,0,0
2021-09-27 15:19:59,CE,17900,1,False,0,77.35,2021-09-27 09:15:59
2021-09-27 15:19:59,PE,17900,1,False,0,125.0,2021-09-27 09:15:59
2021-09-27 15:19:59,CE,17800,4,False,0,128.95,2021-09-27 10:45:59
2021-09-28 09:15:59,CE,17850,1,True,111.05,0,0
2021-09-28 09:15:59,PE,17850,1,True,84.35,0,0
2021-09-28 11:15:59,CE,17750,4,True,118.9,0,0
2021-09-28 12:15:59,CE,17600,4,True,177.85,0,0
2021-09-28 13:15:59,CE,17400,4,True,262.0,0,0
2021-09-28 15:15:59,PE,17700,4,True,54.65,0,0
2021-09-28 15:19:59,CE,17850,1,False,0,50.95,2021-09-28 09:15:59
2021-09-28 15:19:59,PE,17850,1,False,0,147.35,2021-09-28 09:15:59
2021-09-28 15:19:59,CE,17750,4,False,0,88.25,2021-09-28 11:15:59
2021-09-28 15:19:59,CE,17600,4,False,0,184.4,2021-09-28 12:15:59
2021-09-28 15:19:59,CE,17400,4,False,0,361.15,2021-09-28 13:15:59
2021-09-28 15:19:59,PE,17700,4,False,0,61.75,2021-09-28 15:15:59
2021-09-29 09:15:59,CE,17650,1,True,83.3,0,0
2021-09-29 09:15:59,PE,17650,1,True,93.15,0,0
2021-09-29 13:30:59,PE,17800,4,True,110.7,0,0
2021-09-29 14:45:59,PE,17950,4,True,173.7,0,0
2021-09-29 15:00:59,CE,17850,4,True,26.4,0,0
2021-09-29 15:15:59,CE,17750,4,True,42.15,0,0
2021-09-29 15:19:59,CE,17650,1,False,0,87.0,2021-09-29 09:15:59
2021-09-29 15:19:59,PE,17650,1,False,0,45.4,2021-09-29 09:15:59
2021-09-29 15:19:59,PE,17800,4,False,0,134.1,2021-09-29 13:30:59
2021-09-29 15:19:59,PE,17950,4,False,0,267.2,2021-09-29 14:45:59
2021-09-29 15:19:59,CE,17850,4,False,0,16.0,2021-09-29 15:00:59
2021-09-29 15:19:59,CE,17750,4,False,0,39.95,2021-09-29 15:15:59
2021-09-30 09:15:59,CE,17700,1,True,59.6,0,0
2021-09-30 09:15:59,PE,17700,1,True,45.4,0,0
2021-09-30 09:30:59,CE,17600,4,True,89.5,0,0
2021-09-30 09:45:59,PE,17700,4,True,41.75,0,0
2021-09-30 10:30:59,CE,17650,4,True,62.45,0,0
2021-09-30 11:30:59,PE,17750,4,True,57.8,0,0
2021-09-30 12:45:59,CE,17600,4,True,69.85,0,0
2021-09-30 14:30:59,CE,17450,4,True,138.95,0,0
2021-09-30 15:19:59,CE,17700,1,False,0,0.1,2021-09-30 09:15:59
2021-09-30 15:19:59,PE,17700,1,False,0,82.45,2021-09-30 09:15:59
2021-09-30 15:19:59,CE,17600,4,False,0,20.1,2021-09-30 09:30:59
2021-09-30 15:19:59,PE,17700,4,False,0,82.45,2021-09-30 09:45:59
2021-09-30 15:19:59,CE,17650,4,False,0,0.1,2021-09-30 10:30:59
2021-09-30 15:19:59,PE,17750,4,False,0,132.6,2021-09-30 11:30:59
2021-09-30 15:19:59,CE,17600,4,False,0,20.1,2021-09-30 12:45:59
2021-09-30 15:19:59,CE,17450,4,False,0,167.75,2021-09-30 14:30:59
